廠商名稱,統一編號,付款帳戶,地址,聯絡人,聯絡電話
大同文具行,12345678,玉山銀行-1234567890,台北市中正區重慶南路一段10號,張大同,02-2345-6789
全國電子,23456789,國泰世華-2345678901,新北市板橋區文化路二段50號,陳全國,02-3456-7890
順發倉儲,34567890,台新銀行-3456789012,桃園市中壢區中央西路三段30號,李順發,03-4567-8901
雅典設計工坊,45678901,中國信託-4567890123,台中市西區美村路一段100號,張雅典,04-5678-9012
宏遠物流,56789012,玉山銀行-5678901234,高雄市前鎮區成功二路80號,林宏遠,07-6789-0123
永信印刷,67890123,第一銀行-6789012345,台北市大安區和平東路二段20號,黃永信,02-7890-1234
合家清潔社,78901234,合作金庫-7890123456,新北市新莊區中正路200號,吳合家,02-8901-2345
明亮照明,89012345,華南銀行-8901234567,台中市北區三民路三段15號,周明亮,04-9012-3456
大同文具,87654321,玉山銀行-8765432109,台北市中正區重慶南路一段12號,張大同,02-2345-6700
順心餐飲,90123456,兆豐銀行-9012345678,桃園市桃園區復興路60號,劉順心,03-0123-4567
立達五金,11223344,土地銀行-1122334455,台南市東區東門路一段45號,趙立達,06-1122-3344
晴天花藝,22334455,玉山銀行-2233445566,台北市信義區松山路90號,錢晴天,02-2233-4455
廣益廣告,33445566,國泰世華-3344556677,新北市三重區重新路四段110號,孫廣益,02-3344-5566
家美傢俱,44556677,台新銀行-4455667788,台中市南屯區公益路二段70號,李家美,04-4455-6677
速達快遞,55667788,第一銀行-5566778899,高雄市三民區建工路150號,周速達,07-5566-7788
