編號,來源管道,客戶意見
F01,官網表單,杯子質感比想像中好很多 用了一個月都沒掉漆
F02,客服信箱,等了十天還沒到貨 物流到底在做什麼
F03,App 評論,介面好看 但找不到取消訂單的按鈕
F04,官網表單,價格偏高 同樣的東西別家便宜快一百塊
F05,客服信箱,客服小姐很有耐心 一步一步教我怎麼退貨 謝謝
F06,App 評論,好
F07,Google 評論,出貨速度超快 早上下單下午就到
F08,官網表單,收到時盒子是壓扁的 但裡面產品沒事
F09,客服信箱,你們的退換貨流程太複雜了 填了三張表還要等審核
F10,App 評論,東西不錯 就是有點貴 等特價再買
F11,Google 評論,讚
F12,官網表單,材質摸起來很廉價 跟官網照片差很多
F13,客服信箱,line 客服都不讀不回 是倒了嗎
F14,App 評論,物流包裝很用心 還附了手寫卡片
F15,Google 評論,產品很好用 推薦給朋友了
F16,官網表單,運費比商品本身還貴 不太合理
F17,客服信箱,我上週反映的問題到現在都沒人處理
F18,App 評論,還沒拆封 看起來 ok
F19,Google 評論,送來的顏色跟我訂的不一樣 訂藍色拿到綠色
F20,官網表單,CP 值很高 這個價格買到這個品質很滿意
F21,客服信箱,謝謝客服幫我加急處理 趕上了媽媽生日
F22,App 評論,用了三天就壞掉 品質堪憂
F23,Google 評論,+1
F24,官網表單,網站結帳一直跳錯誤 試了五次才成功
F25,客服信箱,客服態度很差 講話很不耐煩
F26,App 評論,東西普通 沒有特別好也沒有特別差
F27,Google 評論,宅配大哥很親切 還幫我搬到三樓
F28,官網表單,這價格我覺得很合理 不貴也不算便宜
F29,客服信箱,訂單顯示已送達 但我根本沒收到東西
F30,App 評論,功能很多 學習一下就上手了 很實用
F31,Google 評論,缺貨等了一個月才補到 太久了
F32,官網表單,謝謝你們的會員折扣 省了不少錢
F33,客服信箱,我想問一下你們有實體店嗎
F34,App 評論,超級好用 已經回購第三次
F35,Google 評論,包裝太多層了 拆得很費力 也不太環保
F36,官網表單,客服回覆很快 問題五分鐘就解決
F37,客服信箱,東西很好但物流太慢 整體還行啦
F38,App 評論,介面當掉好幾次 體驗很差
F39,Google 評論,價格實在 品質又好 會再來
F40,官網表單,收到的商品有刮痕 像是被退過貨的
F41,客服信箱,你們的退費怎麼還沒進我帳戶
F42,App 評論,沒意見
F43,Google 評論,配送很準時 約的時間都有到
F44,官網表單,產品說明書看不懂 字太小又沒圖
F45,客服信箱,客服幫我查了庫存還主動通知到貨 很貼心
F46,App 評論,買貴了 隔天就降價 心情很差
F47,Google 評論,質感真的很棒 朋友看到都問哪買的
F48,官網表單,下單後收到三封一樣的確認信 系統怪怪的
F49,客服信箱,謝謝 解決了
F50,App 評論,東西用起來普普 但這個價錢也沒什麼好嫌
F51,Google 評論,送貨員態度很兇 把包裹丟在門口就走
F52,官網表單,商品本身很好 可惜運送過程被撞凹了
F53,客服信箱,為什麼我問三次都得到不一樣的答案
F54,App 評論,呵呵
F55,Google 評論,物流神速 比預計早兩天到貨
F56,官網表單,東西品質很好 但價格真的偏貴 有點猶豫要不要回購
F57,客服信箱,客服很專業 但等了快一小時才接通
F58,App 評論,這個產品改變了我的工作習慣 非常推薦
F59,Google 評論,訂單被取消也沒通知我 自己查才發現
F60,官網表單,整體還可以 沒什麼特別想說的
