編號,原始回答
R01,學到ㄌ很多實戰技巧　尤其是 Prompt 設計的部分
R02,沒意見
R03,內容豐富，講師講ㄉ很好!!!但時間太趕，建議拉長到３天
R04,.
R05,學到怎麼用AI幫我整理會議記錄 超實用 回公司馬上用
R06,?
R07,"幫助我ㄉ工作效率提升很多,之前要花2小時的報告現在30分ㄓㄨㄥ搞定"
R08,還可以
R09,講師人很專業 但 PPT 字太小　後排看不清楚 希望下次改善
R10,........
R11,收穫良多，特別是：1)Prompt設計 2）資料清理 ３.自動化流程，回去會持續練習
R12,NO
R13,ㄏㄠˇ棒的課程 老師教ㄉ很仔細
R14,普通
R15,－
R16,這次學到自動化串接 把每天重複的匯出報表變成一鍵完成 省ㄌ快一小時
R17,無
R18,講得太快　跟不上　希望有錄影檔可以回放
R19,ok
R20,最大收穫是知道ＡＩ會犯錯 要驗證 不能照單全收
R21,不知道
R22,？？？
R23,實作很多 不是只聽講 這點很好 但教室冷氣太強
R24,沒有
R25,學會用 AI 寫 email 草稿 以前ㄧ封信要想１０分鐘 現在３分鐘
R26,…
R27,課程設計循序漸進 從基礎到應用 對新手很友善
R28,還行吧
R29,讚
R30,///
R31,收穫是學會把大任務拆給 AID 一步一步做 不要一次丟一大包
R32,n/a
R33,講師很用心　準備ㄌ很多案例　每個都跟實務有關
R34,普普
R35,最有用的是知道哪些任務適合給 AI 哪些要自己來
R36,。
R37,時間安排ＯＫ 但希望中場休息久一點　午餐後容易想睡
R38,不予置評
R39,學到資料清理 以前都手動改 Excel 改到眼花 現在交給 AI 跑
R40,xxx
R41,整體很好 唯一建議是講義可以ㄗㄠˇ一點寄 方便預習
R42,還不錯
R43,收穫很多：①會寫 prompt ②會驗證輸出 ③會做自動化　回去馬上用
R44,-
R45,講師專業度高 回答問題ㄉ速度很快 也很有耐心
R46,沒特別感覺
R47,學會用 NotebookLM 整理長文件 對我這種要讀很多報告ㄉ人超有幫助
R48,呵呵
R49,這堂課ㄏㄣˇ實用 教ㄉ東西回辦公室都用得到 不是空談理論
R50,不錯
R51,！！！！
R52,最大收穫是建立ㄌ對 AI 的正確期待 知道它的能力邊界在哪
R53,普通般
R54,教材完整 範例貼近工作　可惜場地網路有點慢　影響上機
R55,123
R56,學到怎麼下精準ㄉ指令 以前都跟 AI 雞同鴨講 現在順多ㄌ
R57,再說
R58,收穫滿滿 希望可以開進階班 想學更多自動化
R59,ㄜ
