留言時間,留言者,留言內容,貼文連結
2026-05-12 09:15,陳小美,杯子收到了 材質比想像中好 用了一週都沒問題,https://www.facebook.com/test/posts/101
2026-05-12 10:32,Linda Wu,請問這款還有藍色嗎？官網都缺貨,https://www.facebook.com/test/posts/101
2026-05-12 11:08,張大華,👍,https://www.facebook.com/test/posts/101
2026-05-12 14:21,王Allen,等了兩週還沒到貨 客服也都不回 太誇張,https://www.facebook.com/test/posts/102
2026-05-12 14:45,小編回覆,@王Allen 抱歉造成您困擾 已私訊您處理,https://www.facebook.com/test/posts/102
2026-05-13 08:30,Mary Chen,請問這次活動到幾號截止？,https://www.facebook.com/test/posts/103
2026-05-13 09:12,投資達人講師,加我LINE @abc123 教你被動收入月入十萬,https://www.facebook.com/test/posts/103
2026-05-13 10:55,林小姐,😍😍😍,https://www.facebook.com/test/posts/103
2026-05-13 13:40,David Liu,昨天買的杯子有缺口 怎麼退換貨,https://www.facebook.com/test/posts/104
2026-05-13 15:28,周大哥,介面找不到取消訂單的按鈕 求救,https://www.facebook.com/test/posts/104
2026-05-14 09:08,Cindy Lin,出貨速度超快 早上下單下午就到 推一個,https://www.facebook.com/test/posts/105
2026-05-14 10:33,謝先生,運費比商品本身還貴 不太合理,https://www.facebook.com/test/posts/105
2026-05-14 12:15,陳爸爸,週末活動有限定多少人嗎？,https://www.facebook.com/test/posts/106
2026-05-14 13:50,匿名用戶,(貼圖),https://www.facebook.com/test/posts/106
2026-05-14 16:22,Jenny Hsu,@謝先生 我也覺得運費太貴 拜託調整一下,https://www.facebook.com/test/posts/105
2026-05-15 08:45,黃太太,商品收到包裝盒壓扁 但裡面東西沒事,https://www.facebook.com/test/posts/107
2026-05-15 10:20,Robert Tsai,line客服都不讀不回 是倒了嗎,https://www.facebook.com/test/posts/107
2026-05-15 11:38,網購省錢王,💰免費賺錢方法 點連結看 bit.ly/xxx,https://www.facebook.com/test/posts/108
2026-05-15 14:05,Apple Wang,請問下週直播抽獎是幾點？,https://www.facebook.com/test/posts/108
2026-05-15 15:30,廖小弟,顏色跟官網照片差很多 像是廉價的塑膠感,https://www.facebook.com/test/posts/108
2026-05-16 09:18,Kelly,❤️❤️,https://www.facebook.com/test/posts/109
2026-05-16 10:45,蕭店長,合作詢問請寄到哪個信箱？,https://www.facebook.com/test/posts/109
2026-05-16 13:22,Tom Lee,杯子質感ok 但組裝有點難 影片可以再清楚一點,https://www.facebook.com/test/posts/109
2026-05-16 14:50,Sarah,訂單編號 #20260514 沒收到出貨通知 已三天,https://www.facebook.com/test/posts/110
2026-05-16 16:08,小編回覆,@Sarah 已查到您的訂單 私訊回覆您,https://www.facebook.com/test/posts/110
2026-05-17 09:30,曾大哥,優惠碼怎麼用？結帳時跳錯誤訊息,https://www.facebook.com/test/posts/111
2026-05-17 11:15,Vivian,還沒拆封 看起來 ok,https://www.facebook.com/test/posts/111
2026-05-17 13:40,娛樂城代理,娛樂城首儲送1000 LINE: gambling888,https://www.facebook.com/test/posts/112
2026-05-17 15:22,陳小妹,謝謝客服小姐很有耐心 教我退貨流程,https://www.facebook.com/test/posts/112
2026-05-17 17:05,Mark,東西不錯 就是有點貴 等特價再買,https://www.facebook.com/test/posts/112
