編號,日期,客戶,地區,聯絡人,職稱,拜訪目的,狀態,下次行動,預估成交金額(萬)
V001,2026-05-20,中華光電,新竹,許廠長,專員,售後服務,流失,了解流失原因,
V002,2026-05-23,日昇電器,桃園,劉處長,採購經理,長期合作洽談,已成交,簽約後關係維護,30
V003,2026-05-18,安和五金,新北,蔡總監,採購經理,售後服務,跟進中,二次拜訪報價,120
V004,2026-05-19,聯興食品,台中,蔡總監,專員,demo,已成交,簽約後關係維護,180
V005,2026-05-25,一鳴電子,彰化,楊副總,總經理,demo,流失,了解流失原因,
V006,2026-05-20,美達工業,新北,楊副總,技術主管,客戶投訴處理,跟進中,確認規格,15
V007,2026-05-26,聯興食品,新北,楊副總,副總,規格確認,跟進中,二次拜訪報價,350
V008,2026-05-24,寶聯實業,台中,王經理,總經理,報價討論,重新接觸,了解現況 + 重新建立關係,180
V009,2026-05-22,永泰企業,台北,蔡總監,廠長,報價討論,流失,了解流失原因,
V010,2026-05-19,寶聯實業,彰化,王經理,財務主管,新產品介紹,重新接觸,了解現況 + 重新建立關係,350
V011,2026-05-23,富晶光電,台中,陳協理,業務主管,客戶投訴處理,跟進中,送樣品,350
V012,2026-05-19,正茂興業,台南,吳專員,副總,新產品介紹,已成交,簽約後關係維護,25
V013,2026-05-26,新昌科技,新北,黃副理,財務主管,售後服務,跟進中,確認規格,350
V014,2026-05-23,維新工業,高雄,劉處長,廠長,demo,重新接觸,了解現況 + 重新建立關係,55
V015,2026-05-26,建興汽車,高雄,張主任,技術主管,新產品介紹,流失,了解流失原因,
V016,2026-05-21,信義營造,桃園,楊副總,業務主管,demo,已成交,簽約後關係維護,15
V017,2026-05-18,信義營造,新北,王經理,業務主管,長期合作洽談,已成交,簽約後關係維護,30
V018,2026-05-23,維新工業,新竹,蔡總監,廠長,新產品介紹,潛在,第一次拜訪 + 公司簡介,45
V019,2026-05-24,晶碩科技,台北,許廠長,副總,新產品介紹,跟進中,送樣品,80
V020,2026-05-26,新昌科技,台南,蔡總監,總經理,長期合作洽談,跟進中,二次拜訪報價,45
V021,2026-05-18,元利國際,新竹,許廠長,廠長,售後服務,流失,了解流失原因,
V022,2026-05-27,合誠塑膠,台中,李課長,總經理,規格確認,流失,了解流失原因,
V023,2026-05-25,三和化工,桃園,吳專員,財務主管,長期合作洽談,跟進中,demo 產品,30
V024,2026-05-18,立達企管,高雄,蔡總監,採購經理,demo,潛在,第一次拜訪 + 公司簡介,80
V025,2026-05-21,聯興食品,彰化,吳專員,課長,新產品介紹,潛在,第一次拜訪 + 公司簡介,350
V026,2026-05-22,勝豐食材,台南,王經理,採購經理,客戶投訴處理,跟進中,二次拜訪報價,350
V027,2026-05-22,遠東紡織,桃園,李課長,專員,長期合作洽談,流失,了解流失原因,
V028,2026-05-20,遠東紡織,高雄,黃副理,專員,demo,跟進中,demo 產品,25
V029,2026-05-26,立達企管,台中,吳專員,課長,demo,流失,了解流失原因,
V030,2026-05-24,三和化工,彰化,黃副理,業務主管,demo,已成交,簽約後關係維護,15
